time_s,buck_output_V,load_voltage_V,current_A,load_power_W,shunt_voltage_mV,temp_C,voltage_drop_V,calculated_load_power_W,implied_load_resistance_ohm,implied_shunt_resistance_ohm,power_residual_W
0,6.000000,5.926000,0.740700,4.390000,74.070000,24.000000,0.074000,4.389388,8.000540,0.100000,0.000612
5,6.000000,5.926000,0.740800,4.390000,74.080000,25.100000,0.074000,4.389981,7.999460,0.100000,0.000019
10,6.001000,5.926000,0.740800,4.390000,74.080000,26.100000,0.075000,4.389981,7.999460,0.100000,0.000019
15,6.001000,5.927000,0.740800,4.391000,74.080000,27.200000,0.074000,4.390722,8.000810,0.100000,0.000278
20,6.001000,5.927000,0.740900,4.391000,74.090000,28.200000,0.074000,4.391314,7.999730,0.100000,-0.000314
25,6.001000,5.927000,0.740900,4.392000,74.090000,29.100000,0.074000,4.391314,7.999730,0.100000,0.000686
30,6.002000,5.927000,0.740900,4.392000,74.090000,30.100000,0.075000,4.391314,7.999730,0.100000,0.000686
35,6.002000,5.928000,0.741000,4.392000,74.100000,31.000000,0.074000,4.392648,8.000000,0.100000,-0.000648
40,6.002000,5.928000,0.741000,4.392000,74.100000,31.900000,0.074000,4.392648,8.000000,0.100000,-0.000648
45,6.002000,5.928000,0.741000,4.392000,74.100000,32.700000,0.074000,4.392648,8.000000,0.100000,-0.000648
50,6.002000,5.928000,0.741000,4.393000,74.100000,33.500000,0.074000,4.392648,8.000000,0.100000,0.000352
55,6.002000,5.928000,0.741000,4.393000,74.100000,34.300000,0.074000,4.392648,8.000000,0.100000,0.000352
60,6.002000,5.928000,0.741000,4.393000,74.100000,35.100000,0.074000,4.392648,8.000000,0.100000,0.000352
65,6.002000,5.928000,0.741000,4.392000,74.100000,35.900000,0.074000,4.392648,8.000000,0.100000,-0.000648
70,6.002000,5.928000,0.741000,4.392000,74.100000,36.600000,0.074000,4.392648,8.000000,0.100000,-0.000648
