metric,value
sample_count,121.0
duration_s,600.0
sample_interval_s,5.0
mean_buck_output_V,5.999206611570247
buck_output_peak_to_peak_mV,5.999999999999339
mean_load_voltage_V,5.9251735537190084
load_voltage_peak_to_peak_mV,6.000000000000227
mean_current_A,0.7406429752066115
current_peak_to_peak_mA,0.7000000000000339
mean_load_power_W,4.388421487603305
load_power_peak_to_peak_mW,8.999999999999453
mean_voltage_drop_mV,74.03305785123979
mean_implied_load_resistance_ohm,8.000040200946142
mean_implied_shunt_resistance_ohm,0.09999999999999999
max_abs_power_residual_mW,0.7220000000005555
load_energy_J,2633.0550000000003
load_energy_Wh,0.7314041666666667
initial_temperature_C,24.0
final_temperature_C,59.5
temperature_rise_C,35.5
final_2min_temperature_slope_C_per_min,0.5049230769230717
