time_s,buck_output_V,load_voltage_V,current_A,load_power_W,shunt_voltage_mV,temp_C_
0,6,5.926,0.7407,4.39,74.07,24
5,6,5.926,0.7408,4.39,74.08,25.1
10,6.001,5.926,0.7408,4.39,74.08,26.1
15,6.001,5.927,0.7408,4.391,74.08,27.2
20,6.001,5.927,0.7409,4.391,74.09,28.2
25,6.001,5.927,0.7409,4.392,74.09,29.1
30,6.002,5.927,0.7409,4.392,74.09,30.1
35,6.002,5.928,0.741,4.392,74.1,31
40,6.002,5.928,0.741,4.392,74.1,31.9
45,6.002,5.928,0.741,4.392,74.1,32.7
50,6.002,5.928,0.741,4.393,74.1,33.5
55,6.002,5.928,0.741,4.393,74.1,34.3
60,6.002,5.928,0.741,4.393,74.1,35.1
65,6.002,5.928,0.741,4.392,74.1,35.9
70,6.002,5.928,0.741,4.392,74.1,36.6
75,6.002,5.928,0.741,4.392,74.1,37.3
80,6.001,5.927,0.7409,4.392,74.09,38
85,6.001,5.927,0.7409,4.391,74.09,38.7
90,6.001,5.927,0.7409,4.391,74.09,39.3
95,6.001,5.927,0.7408,4.391,74.08,40
100,6,5.926,0.7408,4.39,74.08,40.6
105,6,5.926,0.7407,4.39,74.07,41.2
110,6,5.926,0.7407,4.389,74.07,41.8
115,5.999,5.925,0.7407,4.389,74.07,42.3
120,5.999,5.925,0.7406,4.388,74.06,42.9
125,5.999,5.925,0.7406,4.388,74.06,43.4
130,5.998,5.924,0.7405,4.387,74.05,43.9
135,5.998,5.924,0.7405,4.387,74.05,44.4
140,5.998,5.924,0.7404,4.386,74.04,44.9
145,5.997,5.923,0.7404,4.386,74.04,45.3
150,5.997,5.923,0.7404,4.385,74.04,45.8
155,5.997,5.923,0.7404,4.385,74.04,46.2
160,5.997,5.923,0.7403,4.385,74.03,46.7
165,5.997,5.923,0.7403,4.385,74.03,47.1
170,5.997,5.923,0.7403,4.385,74.03,47.5
175,5.997,5.922,0.7403,4.384,74.03,47.9
180,5.997,5.923,0.7403,4.385,74.03,48.2
185,5.997,5.923,0.7403,4.385,74.03,48.6
190,5.997,5.923,0.7403,4.385,74.03,49
195,5.997,5.923,0.7404,4.385,74.04,49.3
200,5.997,5.923,0.7404,4.385,74.04,49.6
205,5.997,5.923,0.7404,4.386,74.04,50
210,5.997,5.923,0.7404,4.386,74.04,50.3
215,5.998,5.924,0.7405,4.386,74.05,50.6
220,5.998,5.924,0.7405,4.387,74.05,50.9
225,5.998,5.924,0.7405,4.387,74.05,51.2
230,5.999,5.925,0.7406,4.388,74.06,51.4
235,5.999,5.925,0.7406,4.388,74.06,51.7
240,5.999,5.925,0.7407,4.389,74.07,52
245,6,5.926,0.7407,4.389,74.07,52.2
250,6,5.926,0.7407,4.39,74.07,52.5
255,6,5.926,0.7408,4.39,74.08,52.7
260,6.001,5.926,0.7408,4.39,74.08,52.9
265,6.001,5.927,0.7408,4.391,74.08,53.2
270,6.001,5.927,0.7409,4.391,74.09,53.4
275,6.001,5.927,0.7409,4.391,74.09,53.6
280,6.001,5.927,0.7409,4.391,74.09,53.8
285,6.001,5.927,0.7409,4.391,74.09,54
290,6.001,5.927,0.7409,4.391,74.09,54.2
295,6.001,5.927,0.7409,4.391,74.09,54.4
300,6.001,5.927,0.7409,4.391,74.09,54.6
305,6.001,5.927,0.7409,4.391,74.09,54.8
310,6.001,5.927,0.7409,4.391,74.09,54.9
315,6.001,5.927,0.7408,4.391,74.08,55.1
320,6,5.926,0.7408,4.39,74.08,55.3
325,6,5.926,0.7408,4.39,74.08,55.4
330,6,5.926,0.7407,4.389,74.07,55.6
335,6,5.926,0.7407,4.389,74.07,55.7
340,5.999,5.925,0.7407,4.389,74.07,55.9
345,5.999,5.925,0.7406,4.388,74.06,56
350,5.999,5.925,0.7406,4.388,74.06,56.1
355,5.998,5.924,0.7405,4.387,74.05,56.3
360,5.998,5.924,0.7405,4.387,74.05,56.4
365,5.998,5.924,0.7404,4.386,74.04,56.5
370,5.997,5.923,0.7404,4.386,74.04,56.6
375,5.997,5.923,0.7404,4.385,74.04,56.7
380,5.997,5.923,0.7403,4.385,74.03,56.9
385,5.997,5.923,0.7403,4.385,74.03,57
390,5.996,5.922,0.7403,4.384,74.03,57.1
395,5.996,5.922,0.7403,4.384,74.03,57.2
400,5.996,5.922,0.7403,4.384,74.03,57.3
405,5.996,5.922,0.7403,4.384,74.03,57.4
410,5.996,5.922,0.7403,4.384,74.03,57.5
415,5.996,5.922,0.7403,4.384,74.03,57.5
420,5.996,5.922,0.7403,4.384,74.03,57.6
425,5.996,5.922,0.7403,4.384,74.03,57.7
430,5.997,5.923,0.7403,4.385,74.03,57.8
435,5.997,5.923,0.7403,4.385,74.03,57.9
440,5.997,5.923,0.7404,4.385,74.04,58
445,5.997,5.923,0.7404,4.386,74.04,58
450,5.998,5.924,0.7404,4.386,74.04,58.1
455,5.998,5.924,0.7405,4.387,74.05,58.2
460,5.998,5.924,0.7405,4.387,74.05,58.3
465,5.999,5.925,0.7406,4.388,74.06,58.3
470,5.999,5.925,0.7406,4.388,74.06,58.4
475,5.999,5.925,0.7406,4.388,74.06,58.4
480,6,5.926,0.7407,4.389,74.07,58.5
485,6,5.926,0.7407,4.389,74.07,58.6
490,6,5.926,0.7408,4.39,74.08,58.6
495,6,5.926,0.7408,4.39,74.08,58.7
500,6.001,5.927,0.7408,4.39,74.08,58.7
505,6.001,5.927,0.7408,4.391,74.08,58.8
510,6.001,5.927,0.7409,4.391,74.09,58.8
515,6.001,5.927,0.7409,4.391,74.09,58.9
520,6.001,5.927,0.7409,4.391,74.09,58.9
525,6.001,5.927,0.7409,4.391,74.09,59
530,6.001,5.927,0.7409,4.391,74.09,59
535,6.001,5.927,0.7409,4.391,74.09,59.1
540,6.001,5.927,0.7408,4.391,74.08,59.1
545,6.001,5.927,0.7408,4.39,74.08,59.2
550,6,5.926,0.7408,4.39,74.08,59.2
555,6,5.926,0.7408,4.39,74.08,59.2
560,6,5.926,0.7407,4.389,74.07,59.3
565,6,5.926,0.7407,4.389,74.07,59.3
570,5.999,5.925,0.7407,4.389,74.07,59.3
575,5.999,5.925,0.7406,4.388,74.06,59.4
580,5.999,5.925,0.7406,4.388,74.06,59.4
585,5.998,5.924,0.7405,4.387,74.05,59.4
590,5.998,5.924,0.7405,4.387,74.05,59.5
595,5.998,5.924,0.7404,4.386,74.04,59.5
600,5.997,5.923,0.7404,4.386,74.04,59.5
